rt_rating,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,asdf,untitled,Unnamed: 46,Unnamed: 47
100,titles01/tt0113247,tt0113247,Hass (1995),hass,http://www.imdb.com/title/tt0113247/,8.1,72274,5880,1995,video.movie,8,12,32,70,154,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
86,titles01/tt0113277,tt0113277,Heat (1995),heat,http://www.imdb.com/title/tt0113277/,8.3,324264,10200,1995,video.movie,0,0,64,1030,841,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
81,titles01/tt0114369,tt0114369,Sieben (1995),sieben,http://www.imdb.com/title/tt0114369/,8.7,691425,7620,1995,video.movie,25,18,58,1953,977,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,
100,titles01/tt0114709,tt0114709,Toy Story (1995),toy story,http://www.imdb.com/title/tt0114709/,8.3,410650,4860,1995,video.movie,19,13,121,5068,311,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
90,titles01/tt0114746,tt0114746,12 Monkeys (1995),monkeys,http://www.imdb.com/title/tt0114746/,8.1,342200,7740,1995,video.movie,10,8,47,335,498,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,,
86,titles01/tt0114787,tt0114787,Underground (1995),underground,http://www.imdb.com/title/tt0114787/,8.2,30610,10200,1995,video.movie,6,6,10,38,118,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
89,titles01/tt0114814,tt0114814,Die üblichen Verdächtigen (1995),die blichen verd chtigen,http://www.imdb.com/title/tt0114814/,8.7,523742,6360,1995,video.movie,29,7,53,1212,1110,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,
93,titles01/tt0116282,tt0116282,Fargo - Blutiger Schnee (1996),fargo blutiger schnee,http://www.imdb.com/title/tt0116282/,8.2,310335,5880,1996,video.movie,60,32,30,815,752,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
91,titles01/tt0117951,tt0117951,Trainspotting - Neue Helden (1996),trainspotting neue helden,http://www.imdb.com/title/tt0117951/,8.2,343921,5640,1996,video.movie,19,15,71,1343,482,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
90,titles01/tt0118694,tt0118694,In the Mood for Love - Der Klang der Liebe (2000),in the mood for love der klang der liebe,http://www.imdb.com/title/tt0118694/,8.1,55016,5880,2000,video.movie,35,27,28,154,293,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
82,titles01/tt0118715,tt0118715,The Big Lebowski (1998),the big lebowski,http://www.imdb.com/title/tt0118715/,8.2,380503,7020,1998,video.movie,1,9,73,1394,972,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
80,titles01/tt0118799,tt0118799,Das Leben ist schön (1997),das leben ist sch n,http://www.imdb.com/title/tt0118799/,8.6,266261,6960,1997,video.movie,56,31,56,98,972,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
97,titles01/tt0119217,tt0119217,Good Will Hunting - Der gute Will Hunting (1997),good will hunting der gute will hunting,http://www.imdb.com/title/tt0119217/,8.2,414269,7560,1997,video.movie,18,37,73,1462,611,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
99,titles01/tt0119488,tt0119488,L.A. Confidential (1997),l a confidential,http://www.imdb.com/title/tt0119488/,8.3,319796,8280,1997,video.movie,78,48,59,82,591,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,
93,titles01/tt0119698,tt0119698,Prinzessin Mononoke (1997),prinzessin mononoke,http://www.imdb.com/title/tt0119698/,8.5,150101,8040,1997,video.movie,11,5,49,297,516,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
94,titles01/tt0120382,tt0120382,Die Truman Show (1998),die truman show,http://www.imdb.com/title/tt0120382/,8,455656,6180,1998,video.movie,32,37,113,702,789,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
83,titles01/tt0120586,tt0120586,American History X (1998),american history x,http://www.imdb.com/title/tt0120586/,8.6,550302,7140,1998,video.movie,3,9,42,472,1344,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
78,titles01/tt0120689,tt0120689,The Green Mile (1999),the green mile,http://www.imdb.com/title/tt0120689/,8.5,499240,11340,1999,video.movie,15,23,45,808,1290,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
75,titles01/tt0120735,tt0120735,Bube Dame König grAS (1998),bube dame k nig gras,http://www.imdb.com/title/tt0120735/,8.2,304448,6420,1998,video.movie,13,7,92,96,509,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
91,titles01/tt0120737,tt0120737,Der Herr der Ringe - Die Gefährten (2001),der herr der ringe die gef hrten,http://www.imdb.com/title/tt0120737/,8.9,871819,10680,2001,video.movie,82,90,220,801,4928,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
93,titles01/tt0120815,tt0120815,Der Soldat James Ryan (1998),der soldat james ryan,http://www.imdb.com/title/tt0120815/,8.6,600405,10140,1998,video.movie,58,56,129,1841,2191,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
87,titles01/tt0133093,tt0133093,Matrix (1999),matrix,http://www.imdb.com/title/tt0133093/,8.7,841150,8160,1999,video.movie,29,36,123,1931,3470,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
78,titles01/tt0137523,tt0137523,Fight Club (1999),fight club,http://www.imdb.com/title/tt0137523/,8.9,900388,8340,1999,video.movie,5,13,215,2613,2676,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
92,titles01/tt0154420,tt0154420,Das Fest (1998),das fest,http://www.imdb.com/title/tt0154420/,8.2,52322,6300,1998,video.movie,28,16,23,151,249,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
93,titles01/tt0167260,tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),der herr der ringe die r ckkehr des k nigs,http://www.imdb.com/title/tt0167260/,8.9,845383,12060,2003,video.movie,122,74,230,1294,3049,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
95,titles01/tt0167261,tt0167261,Der Herr der Ringe - Die zwei Türme (2002),der herr der ringe die zwei t rme,http://www.imdb.com/title/tt0167261/,8.8,760587,10740,2002,video.movie,76,83,164,527,2381,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
